0,Rolette ND,48.660361,-99.810528,25.000000,-719198.437588,-4159158.241676,4765712.516793
1,Cheyenne WY,41.127083,-104.902417,25.000000,-1237348.753784,-4649509.144232,4173079.645532
2,Des Moines IA,41.541306,-93.825806,25.000000,-319001.052061,-4770299.863863,4207622.543689
3,Quincy WA,47.237806,-119.889139,25.000000,-2161891.671267,-3761294.585011,4659772.148308
4,Frederick MD,39.396972,-77.436639,25.000000,1073563.798103,-4817316.379971,4026485.494652
5,Elbert CO,39.292528,-104.504750,25.000000,-1237985.759622,-4785299.126925,4017518.069307
6,Fairbanks AK,64.805167,-147.500222,25.000000,-2296256.832340,-1462864.430960,5748517.239922
7,Awarua,-46.528000,168.378000,25.000000,-4305804.603509,885577.861255,-4605839.274157
8,Cromwell,-45.059000,169.206000,25.000000,-4433119.757782,845181.702581,-4491998.883333
9,Hinds,-43.921900,171.890000,25.000000,-4555497.170316,649154.466707,-4401861.385515
10,Clevedon,-36.989000,175.055000,25.000000,-5081760.529617,439681.369869,-3816432.193963
11,Te Hana,-36.237000,174.512000,25.000000,-5126907.176264,492581.301501,-3749448.812628
12,Puwera,-35.793000,174.300000,25.000000,-5153874.504556,514425.064745,-3709599.383833
13,Conrad MT,48.203306,-111.945278,25.000000,-1591642.388679,-3950311.454899,4731990.268802
14,Redmond WA,47.694194,-122.032139,25.000000,-2281196.865162,-3646125.469477,4694074.620650
15,Greenville PA,41.433556,-80.333222,25.000000,804138.536440,-4720884.485236,4198657.963834
16,Merrillan WI,44.406333,-90.814278,25.000000,-64860.815340,-4563552.955304,4440474.760007
17,Kalama WA,46.038972,-122.808222,25.000000,-2403129.476760,-3727752.081301,4568272.395267
18,Hawthorne CA,33.917500,-118.328111,25.000000,-2514192.337594,-4663878.635876,3538869.357699
19,Arbuckle CA,39.057000,-122.060000,25.000000,-2632463.453364,-4203021.745072,3997247.453206
20,Beekmantown NY,44.789972,-73.480000,25.000000,1289266.006993,-4346916.535411,4470830.495675
21,Charleston OR,43.248417,-124.381194,25.000000,-2627590.222472,-3840202.029680,4347660.712459
22,Panaca NV,37.783639,-114.692694,25.000000,-2108472.594964,-4585688.372592,3886506.421468
23,Boca Chica TX,25.990694,-97.182750,25.000000,-717297.484992,-5691774.899630,2778145.501703
24,McGregor TX,31.404917,-97.438139,25.000000,-705371.953507,-5402902.548506,3304305.624676
25,Litchfield CT,41.545028,-73.354028,25.000000,1369460.192517,-4580336.224435,4207931.943003
26,Warren MO,38.635167,-91.116028,25.000000,-97166.205907,-4987786.518563,3960775.589540
27,Nemaha NE,40.333667,-95.815278,25.000000,-493317.294158,-4843771.177714,4106312.852261
28,Manistique MI,45.908611,-86.483583,25.000000,272671.095431,-4437267.448869,4558202.166407
29,Slope County ND,46.408389,-103.114583,25.000000,-999620.216571,-4290664.663526,4596681.518103
30,Los Angeles CA,34.604028,-117.454361,25.000000,-2423013.728313,-4663632.223918,3601809.737426
31,Cass County ND,47.151694,-97.408889,25.000000,-560331.037519,-4309075.758004,4653266.870432
32,Sanderson TX,30.194000,-102.890000,25.000000,-1230842.057189,-5378452.110194,3188991.718428
33,Springer OK,34.268500,-97.213167,25.000000,-662531.953256,-5234805.470753,3571112.080192
34,Hitterdal MN,46.978917,-96.258028,25.000000,-475203.309995,-4333439.744714,4640183.034289
35,Tionesta CA,41.644000,-121.329972,25.000000,-2481996.752437,-4077361.137583,4216152.741206
36,Butte MT,45.924056,-112.513194,25.000000,-1701745.373497,-4105702.351946,4559396.497522
37,Colburn ID,48.345250,-116.439333,25.000000,-1891033.064371,-3802904.094410,4742495.294159
38,Baxley GA,31.682167,-82.268972,25.000000,730818.173393,-5383290.204613,3330504.630339
39,Robertsdale AL,30.567000,-87.646000,25.000000,225763.721686,-5491941.127449,3224664.158046
40,Roll AZ,32.815500,-113.798056,25.000000,-2165100.343882,-4909390.743209,3436792.866221
41,Prosser WA,46.127278,-119.684305,25.000000,-2192910.760638,-3847030.068515,4575080.552618
42,Vernon UT,40.076222,-112.354722,25.000000,-1858826.554441,-4519986.330660,4084480.261838
43,Inman KS,38.229000,-97.921972,25.000000,-691431.566392,-4968881.518268,3925457.280343
44,Evanston WY,41.092500,-110.842611,25.000000,-1712782.408894,-4498849.819680,4170185.892780
