66,1446,48,0,3
67,1446,49,0,3
68,1446,50,0,3
69,1446,68,1,2
70,1446,69,1,2
71,1446,70,1,2
72,1446,73,1,1
84,1446,83,1,2
102,1446,101,1,2
104,1421,105,2,1
104,1423,105,2,1
104,1425,105,2,1
104,1426,105,2,1
109,1446,91,0,3
128,1446,110,0,3
140,1427,158,3,0
140,1440,158,3,0
146,1446,147,2,1
164,1446,165,2,1
182,1446,183,2,1
200,1446,201,2,1
218,1446,219,2,1
236,1446,237,2,1
254,1446,255,2,1
264,1446,282,3,0
265,1446,283,3,0
282,1446,281,1,2
283,1446,282,1,2
301,1446,300,1,2
372,1446,371,1,2
377,1446,376,1,2
390,1446,389,1,2
394,1446,393,1,2
408,1446,407,1,2
411,1446,410,1,2
426,1446,425,1,2
428,1446,427,1,2
432,1446,449,3,2
444,1446,443,1,2
469,1385,487,3,0
488,1385,506,3,0
506,1385,524,3,0
507,1385,525,3,0
525,1385,543,3,0
538,1446,537,1,2
539,1385,522,2,3
544,1385,562,3,0
556,1385,557,2,1
557,1385,540,2,3
563,1385,581,3,0
573,1385,574,2,1
574,1385,575,2,1
582,1385,600,3,0
590,1385,591,2,1
592,1385,593,2,1
600,1385,618,3,0
601,1385,619,3,0
602,1385,620,3,0
603,1385,621,3,0
604,1385,622,3,0
608,1385,609,2,1
609,1385,610,2,1
619,1385,637,3,0
620,1385,638,3,0
621,1385,639,3,0
625,1385,626,2,1
626,1446,625,1,2
627,1385,628,2,1
640,1385,639,1,2
642,1385,643,2,1
645,1446,644,1,2
657,1385,656,1,2
658,1385,657,1,2
659,1385,660,2,1
661,1446,660,1,2
662,1385,663,2,1
662,1446,661,1,2
675,1385,674,1,2
676,1385,675,1,2
677,1385,678,2,1
680,1385,681,2,1
693,1385,692,1,2
694,1385,693,1,2
697,1385,698,2,1
711,1385,710,1,2
712,1385,711,1,2
715,1385,716,2,1
729,1385,728,1,2
730,1385,729,1,2
732,1385,733,2,1
747,1385,746,1,2
748,1385,747,1,2
756,1385,757,1,1
765,1385,764,1,2
766,1385,765,1,2
774,1385,775,1,1
783,1385,782,1,2
790,1385,791,2,1
791,1385,774,2,3
792,1385,793,1,1
801,1385,800,1,2
807,1385,808,2,1
808,1385,809,2,1
809,1385,792,2,3
810,1385,811,1,1
819,1385,818,1,2
824,1385,825,2,1
825,1385,826,2,1
826,1385,827,2,1
827,1385,810,2,3
828,1385,829,1,1
837,1385,836,1,2
842,1385,843,2,1
843,1385,844,2,1
844,1385,845,2,1
845,1385,828,2,3
859,1385,860,2,1
862,1385,863,2,1
863,1385,846,2,3
881,1385,864,2,3
883,1385,901,3,0
899,1385,882,2,3
901,1385,919,3,0
919,1385,937,3,0
924,1385,923,1,2
927,1385,926,1,2
936,1385,937,1,1
937,1385,1385,4,0
942,1385,941,1,2
943,1385,942,1,2
945,1385,944,1,2
953,1385,936,2,3
955,1385,937,0,3
959,1385,941,0,3
960,1385,942,0,3
961,1385,943,0,3
963,1385,962,1,2
977,1325,978,2,1
996,1325,978,0,3
1013,1325,1031,3,0
1015,1325,997,0,3
1016,1325,998,0,3
1031,1325,1030,1,2
1034,1325,1016,0,3
1037,1325,1019,0,3
1049,1325,1048,1,2
1055,1325,1037,0,3
1067,1325,1066,1,2
1085,1325,1084,1,2
1090,1325,1089,1,2
1248,1406,1230,0,3
1300,1385,945,0,4
1301,1372,1168,0,4
1306,1446,1180,0,4
1307,1446,1163,0,4
1308,1446,1163,0,4
1325,1361,1116,0,4
1325,1448,1030,0,4
1329,1359,1203,0,4
1345,1385,842,0,4
1359,1329,1203,0,4
1361,1325,1152,0,4
1372,1301,1258,0,4
1385,1300,937,0,4
1385,1319,937,0,4
1385,1320,937,0,4
1385,1321,937,0,4
1385,1334,937,0,4
1385,1335,937,0,4
1385,1342,937,0,4
1385,1345,937,0,4
1385,1350,937,0,4
1385,1358,937,0,4
1385,1360,937,0,4
1385,1363,937,0,4
1385,1373,937,0,4
1385,1391,937,0,4
1385,1394,937,0,4
1385,1416,937,0,4
1385,1417,937,0,4
1385,1420,937,0,4
1385,1421,937,0,4
1385,1422,937,0,4
1385,1423,937,0,4
1385,1425,937,0,4
1385,1426,937,0,4
1385,1427,937,0,4
1385,1428,937,0,4
1385,1429,937,0,4
1385,1430,937,0,4
1385,1432,937,0,4
1385,1433,937,0,4
1385,1434,937,0,4
1385,1440,937,0,4
1385,1446,98,0,4
1385,1459,937,0,4
1391,1385,937,0,4
1414,1446,36,0,4
1415,1446,36,0,4
1416,1446,321,0,4
1417,1385,703,0,4
1420,1385,703,0,4
1421,1385,738,0,4
1422,1385,738,0,4
1422,1442,773,0,4
1423,1385,721,0,4
1426,1385,703,0,4
1427,1385,845,0,4
1428,1385,810,0,4
1429,1385,810,0,4
1432,1385,845,0,4
1434,1385,810,0,4
1442,1422,809,0,4
1446,1306,1172,0,4
1446,1307,1137,0,4
1446,1308,1137,0,4
1446,1385,1241,0,4
1446,1405,281,0,4
1446,1412,281,0,4
1446,1413,281,0,4
1446,1414,1241,0,4
1446,1415,1241,0,4
1446,1416,281,0,4
1446,1447,281,0,4
1446,1455,1241,0,4
1446,1456,1241,0,4
1446,1457,281,0,4
1446,1458,281,0,4
1446,1459,281,0,4
1455,1446,36,0,4
1456,1446,36,0,4
